item_id,brand_id,brandfamily_id,package_id,info_id
1,"[6, 14]",1,1,BHS
6,"[6, 19]",2,1,BHM
54,"[6, 14]",1,1,BHS
15,"[6, 19]",2,1,BHM
108,[19],3,1,MQB
114,"[6, 8]",4,2,BZMN
65,[11],5,3,HGO
113,[11],5,4,HGO
67,[11],5,2,HGO
100,[19],3,2,MQB
56,"[6, 8]",4,2,BZMN
19,[11],5,1,HGO
63,"[6, 14]",1,2,BHS
72,"[6, 19]",2,2,BHM
91,"[6, 14, 18]",6,1,BHHC
75,"[6, 19]",2,4,BHM
39,[11],5,5,HGO
22,[19],3,1,MQB
115,"[6, 19]",2,6,BHM
29,[11],5,1,HGO
109,"[6, 19]",2,6,BHM
53,[11],5,6,HGO
107,[11],5,2,HGO
69,[11],5,2,HGO
50,"[6, 14]",1,1,BHS
106,"[6, 19]",2,6,BHM
66,"[6, 14]",1,6,BHS
43,"[6, 14]",1,1,BHS
81,[16],7,6,OVB
27,[11],5,1,HGO
112,"[6, 19]",2,1,BHM
58,[11],5,1,HGO
60,[11],5,4,HGO
76,"[1, 12]",5,1,H C
80,[11],5,1,HGO
86,"[6, 14]",1,1,BHS
59,"[6, 14]",1,1,BHS
41,"[6, 8]",4,1,BZMN
18,[19],3,4,MQB
117,"[6, 19]",2,1,BHM
64,"[1, 7]",5,2,HGO
48,"[6, 19]",2,6,BHM
8,"[6, 8]",4,2,BZMN
95,"[6, 14]",1,1,BHS
77,[11],5,4,HGO
32,"[6, 14]",1,2,BHS
79,"[6, 14]",1,6,BHS
61,"[6, 19]",2,2,BHM
42,"[1, 7]",5,2,HGO
21,"[6, 14, 18]",6,1,BHHC
62,"[6, 19]",2,2,BHM
74,"[1, 7]",5,2,HGO
71,[11],5,7,HGO
68,[11],5,1,HGO
10,[11],5,7,HGO
31,"[6, 19]",2,4,BHM
0,[11],5,2,HGO
84,"[6, 8]",4,2,BZMN
82,[5],8,3, QE
37,[11],5,8,HGO
33,"[6, 8]",4,4,BZMN
94,"[6, 14]",1,1,BHS
116,[11],5,3,HGO
2,[11],5,4,HGO
93,"[6, 8]",4,6,BZMN
51,"[6, 14]",1,3,BHS
26,[11],5,4,HGO
7,"[1, 7]",5,1,HGO
102,"[6, 8]",4,2,BZMN
90,[13],9,3,BME
104,[16],7,2,OVB
16,[11],5,1,HGO
45,[11],5,4,HGO
30,[11],5,1,HGO
110,[13],9,6,BME
96,[9],8,6,LS
49,"[6, 14]",1,4,BHS
13,[9],8,6,LS
28,[13],9,1,BME
14,"[6, 14]",1,1,BHS
46,"[6, 8]",4,4,BZMN
52,[19],3,1,MQB
40,[11],5,4,HGO
9,[11],5,5,HGO
98,"[2, 15]",1,1,BJHAYJU QRP
88,[17],8,2,LGSWWE  
24,"[6, 19]",2,2,BHM
23,"[6, 19]",2,4,BHM
105,[11],5,1,HGO
34,"[1, 12]",5,4,H C
85,[10],9,1,VKZ
36,"[6, 8]",4,4,BZMN
103,[10],9,1,VKZ
89,[13],9,4,BME
73,[3],9,6,YMJ
38,[3],9,6,YMJ
57,[4],9,6,YMJ
17,[11],5,1,HGO
97,"[2, 15]",1,1,BJHAYJU QRP
70,"[6, 8]",4,4,BZMN
25,"[6, 8]",4,1,BZMN
55,"[6, 19]",2,1,BHM
44,"[1, 7]",5,1,HGO
3,"[6, 19]",2,4,BHM
99,"[6, 19]",2,2,BHM
20,"[6, 8]",4,2,BZMN
111,"[6, 19]",2,1,BHM
11,"[6, 8]",4,1,BZMN
47,[13],9,6,BME
92,[13],9,7,BME
101,"[6, 8]",4,2,BZMN
35,"[2, 15]",1,4,BJHAYJU QRP
4,"[6, 8]",4,1,VFZMN
78,"[6, 8]",4,4,BZMN
5,[11],5,1,HGO
83,[19],3,1,MQB
87,[19],3,2,MQB
12,[19],3,4,MQB
